protein1 protein2 combined_score
9606.ENSP00000339007 9606.ENSP00000324222 438
9606.ENSP00000339007 9606.ENSP00000339299 729
9606.ENSP00000339007 9606.ENSP00000343741 541
9606.ENSP00000339007 9606.ENSP00000354558 210
9606.ENSP00000339299 9606.ENSP00000339007 729
9606.ENSP00000339299 9606.ENSP00000346839 430
9606.ENSP00000339299 9606.ENSP00000384675 959
9606.ENSP00000343741 9606.ENSP00000256078 202
9606.ENSP00000343741 9606.ENSP00000270202 327
9606.ENSP00000343741 9606.ENSP00000278616 422
9606.ENSP00000343741 9606.ENSP00000324222 183
9606.ENSP00000343741 9606.ENSP00000339007 541
9606.ENSP00000346839 9606.ENSP00000275493 914
9606.ENSP00000346839 9606.ENSP00000339299 430
9606.ENSP00000346839 9606.ENSP00000361021 735
9606.ENSP00000354558 9606.ENSP00000256078 209
9606.ENSP00000354558 9606.ENSP00000269305 731
9606.ENSP00000354558 9606.ENSP00000269571 255
9606.ENSP00000354558 9606.ENSP00000278616 446
9606.ENSP00000354558 9606.ENSP00000339007 210
9606.ENSP00000357869 9606.ENSP00000228682 498
9606.ENSP00000357869 9606.ENSP00000264657 436
9606.ENSP00000357869 9606.ENSP00000269305 335
9606.ENSP00000357869 9606.ENSP00000418960 554
9606.ENSP00000361021 9606.ENSP00000269305 297
9606.ENSP00000361021 9606.ENSP00000269571 982
9606.ENSP00000361021 9606.ENSP00000270202 917
9606.ENSP00000361021 9606.ENSP00000324222 329
9606.ENSP00000361021 9606.ENSP00000346839 735
9606.ENSP00000361021 9606.ENSP00000361423 388
9606.ENSP00000361021 9606.ENSP00000384675 627
9606.ENSP00000361423 9606.ENSP00000265433 234
9606.ENSP00000361423 9606.ENSP00000270202 746
9606.ENSP00000361423 9606.ENSP00000278616 170
9606.ENSP00000361423 9606.ENSP00000361021 388
9606.ENSP00000384675 9606.ENSP00000256078 809
9606.ENSP00000384675 9606.ENSP00000264657 528
9606.ENSP00000384675 9606.ENSP00000339299 959
9606.ENSP00000384675 9606.ENSP00000361021 627
9606.ENSP00000384675 9606.ENSP00000418960 210
9606.ENSP00000418960 9606.ENSP00000265433 814
9606.ENSP00000418960 9606.ENSP00000357869 554
9606.ENSP00000418960 9606.ENSP00000384675 210
9606.ENSP00000451828 9606.ENSP00000256078 719
9606.ENSP00000451828 9606.ENSP00000262189 744
